Designator,Mid X,Mid Y,Rotation,Layer
R4,86.604271,119.345,90.0,top
R5,90.293266,127.900546,270.0,top
R6,87.691764,119.345,90.0,top
R7,84.691764,127.945,270.0,top
R8,75.382478,133.740834,90.0,top
R9,76.346638,127.374986,270.0,top
RST1,82.091764,95.545,0.0,top
SPLIT_L1,91.111764,92.44,90.0,top
SW1,85.441764,78.945,0.0,top
U1,80.491764,121.145,0.0,top
U2,87.165356,126.745,270.0,top
U3,85.400099,111.11614,90.0,top
U4,91.491764,121.745,270.0,top
U5,75.359989,130.524912,270.0,top
U6,73.491764,123.745,270.0,bottom
Y1,84.95762,101.76293,135.0,top
